CCAA;CIUDAD;Num_Documentos;Fecha_Inicio;Ultima_Actualizacion;Licencia;Compartir?;Transformar?;Uso con fin comercial?;Gratis?;FORMATO MÁQUINA;FORMATO MAPA;SIN FORMATO;ACTUALIZADO;CATEGORIA;DATASET;% Categoria en Catalogo;Creado;Frecuencia;NOTA PORTAL
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;13/03/2018;MEDIO AMBIENTE;Dades diàries de l’últim mes de les estacions de soroll.;31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;13/03/2018;MEDIO AMBIENTE;Localitzacions de les estacions de sorolls;31,35%;21/11/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Datos de la estación de contaminación atmosférica de Universidad Politécnica (1A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Datos de la estación de contaminación atmosférica de Molí del Sol (3A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Dades de l’estació de contaminació atmosfèrica de Pista de Silla (4A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Datos de la estación de contaminación atmosférica de Viveros (5A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Dades de l'estació de contaminació atmosfèrica d'Avda. França (6A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;14/02/2018;MEDIO AMBIENTE;Datos de la estación de contaminación atmosférica de Boulevar Sur (7A);31,35%;21/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;06/02/2018;MEDIO AMBIENTE;Localització dels contenidors de Piles;31,35%;20/05/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;18/01/2018;MEDIO AMBIENTE;Localització dels contenidors d’oli domèstic;31,35%;20/05/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;05/01/2018;MEDIO AMBIENTE;Arbratge;31,35%;24/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Populus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Morus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Quercus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Fraxinus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Ligustrum;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Ulmus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Platanus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Pinus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Olea;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Cupressus;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;MEDIO AMBIENTE;Mapa Pol·len Casuarina;31,35%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;22/07/2015;MEDIO AMBIENTE;Contendores de residus sòlids;31,35%;28/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/12/2013;MEDIO AMBIENTE;Recarrega vehicles elèctrics;31,35%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/04/2013;MEDIO AMBIENTE;Pipicanes i zones per a gossos;31,35%;28/10/2014;1 Año;8,08
